slot,event_id,intent,slot_policy,core_start,core_end,planned_event_delta_deg,actual_core_net_yaw_deg,budget_deg,nonturn_budget_fail,intent_mismatch_fail,actual_longest_same_sign_turn_seconds
0,673,none,non_turn_anchor,0,59,-4.068126837117179,-4.06818574749877,30.000000834826057,False,False,0.0
1,673,none,non_turn_anchor,76,126,-4.068126837117179,-4.068045301733962,30.000000834826057,False,False,0.0
2,673,none,non_turn_anchor,143,187,-4.068126837117179,-4.068058962112302,30.000000834826057,False,False,0.0
3,904,none,non_turn_anchor,211,264,-2.5863811162629697,-2.5859659688274803,30.000000834826057,False,False,0.0
4,673,none,non_turn_anchor,288,330,-4.068126837117179,-4.0680914055108595,30.000000834826057,False,False,0.0
5,695,none,non_turn_anchor,359,412,6.533811467113442,6.533904955327706,30.000000834826057,False,False,0.5
6,695,none,non_turn_anchor,437,494,6.533811467113442,6.533859278437632,30.000000834826057,False,False,0.4666666666666667
7,695,none,non_turn_anchor,519,576,6.533811467113442,6.53390538221453,30.000000834826057,False,False,0.4666666666666667
8,695,none,non_turn_anchor,601,658,6.533811467113442,6.533955327972835,30.000000834826057,False,False,0.4666666666666667
9,695,none,non_turn_anchor,683,739,6.533811467113442,6.534049243073923,30.000000834826057,False,False,0.4666666666666667
10,695,none,non_turn_anchor,750,794,6.533811467113442,6.534347210076465,30.000000834826057,False,False,0.5666666666666667
11,558,none,non_turn_anchor,810,842,1.0524289512094742,1.0516852076418834,30.000000834826057,False,False,0.0
12,641,none,non_turn_anchor,867,918,-0.35020250172549194,-0.34966641191692527,30.000000834826057,False,False,0.0
13,689,none,non_turn_anchor,936,974,1.666129665706465,1.6664278461524185,30.000000834826057,False,False,0.0
14,673,none,non_turn_anchor,1000,1041,-4.068126837117179,-4.068019688524575,30.000000834826057,False,False,0.0
15,673,none,non_turn_anchor,1058,1097,-4.068126837117179,-4.068017980977282,30.000000834826057,False,False,0.0
16,673,none,non_turn_anchor,1117,1164,-4.068126837117179,-4.068024811166452,30.000000834826057,False,False,0.0
17,673,none,non_turn_anchor,1184,1230,-4.068126837117179,-4.0680299338083294,30.000000834826057,False,False,0.0
18,904,none,non_turn_anchor,1254,1302,-2.5863811162629697,-2.5855736598370274,30.000000834826057,False,False,0.0
19,673,none,non_turn_anchor,1324,1363,-4.068126837117179,-4.068034202676561,30.000000834826057,False,False,0.0
20,673,none,non_turn_anchor,1382,1425,-4.068126837117179,-4.068037190884323,30.000000834826057,False,False,0.0
21,673,none,non_turn_anchor,1444,1486,-4.068126837117179,-4.068044021073493,30.000000834826057,False,False,0.0
22,904,none,non_turn_anchor,1510,1558,-2.5863811162629697,-2.585864369763576,30.000000834826057,False,False,0.0
23,648,none,non_turn_anchor,1587,1640,3.0909182256285264,3.0910669956863854,30.000000834826057,False,False,0.0
