slot,prev_event_id,curr_event_id,candidate_rank,transition_start,transition_end,transition_len,content_start,predicted_risk_score,predicted_boundary_jerk,predicted_exit_fk_jump,actual_risk_score,actual_boundary_jerk,actual_exit_fk_jump,actual_exit_rotation_step_rad,actual_foot_slip,actual_foot_penetration,actual_contact_switch,core_warp,safe,decision
1,673,673,84,59,76,17,76,0.6069676041201661,177.7717742919922,0.00019362311754928332,1.4309399000674976,212.5216522216797,0.0002754287171119387,0.0016295667737722397,0.059011550906414856,0.0,0.0,0.8771929824561403,True,reselected_heading_physics_safe
2,673,673,83,126,143,17,143,0.5032417717190873,102.23410034179688,0.00017330553487923794,1.654599756071371,297.0747375488281,0.00026035102286921594,0.0016295613022521138,0.058789184723772245,0.0,0.0,0.7719298245614035,True,reselected_heading_physics_safe
3,673,904,81,187,211,24,211,0.9840762511790782,81.13990020751953,0.0006747386915102463,2.215748069937935,337.7154541015625,0.0007063704825861824,0.000591237680055201,0.1861792585668335,0.0,0.0,0.828125,True,reselected_heading_physics_safe
4,904,673,85,264,288,24,288,1.6918360645723978,197.62623596191406,0.00024054250296212554,2.9355097156882675,246.6332244873047,0.0007257708867715487,0.007455829996615648,0.20748466502827229,0.0,0.0,0.7368421052631579,True,reselected_heading_physics_safe
5,673,695,4,330,359,29,359,1.0331366628431589,56.33158493041992,0.0006035352398149722,2.5192708883226373,354.7740173339844,0.0006151318632963906,0.00045640114694833755,0.21183099867313615,0.0,0.008928571827709675,0.828125,True,reselected_heading_physics_safe
6,695,695,4,412,437,25,437,0.9900989723172738,141.4233856201172,0.0005304467224880931,1.9045015660674756,231.98255920410156,0.0005572064948256043,0.0005337339825928211,0.08785402765657101,0.0,0.010416666977107525,0.890625,True,reselected_heading_physics_safe
7,695,695,1,494,519,25,519,1.0047067976444177,153.65159606933594,0.0005342752963152667,1.8594865774570999,227.5835418701172,0.000558839472785146,0.0005337091279216111,0.07596554883102148,0.0,0.010416666977107525,0.890625,True,reselected_heading_physics_safe
8,695,695,83,576,601,25,601,0.9970276231124304,150.39329528808594,0.0005382519514903359,1.8520910397553507,228.8456268310547,0.0005606975611262041,0.0005337364273145795,0.07277788527253336,0.0,0.010416666977107525,0.890625,True,reselected_heading_physics_safe
9,695,695,83,658,683,25,683,0.9924440499947937,146.85382080078125,0.0005497135061022588,1.8504535583937203,230.6422119140625,0.0005702387822323639,0.0005337290931493044,0.07422304366981447,0.0,0.0,0.875,True,reselected_heading_physics_safe
10,695,695,81,739,750,11,750,2.4007504652429725,141.66123962402344,0.0007965051079215964,8.65101275424886,247.98095703125,0.0032123243808611325,0.016505828127264977,0.2450653024163831,0.0,0.0,0.6875,True,reselected_heading_physics_safe
